time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
45,34.57124438829014,2,30.742746632974082,24.421341084437817,73.2210487082899,0.0056740977,0.0053969445,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 35 req/s,False,False
46,30.67841797811635,2,28.40705078686981,22.572248539605265,73.01566743076998,0.0065632695,0.0061088717,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 31 req/s,False,False
47,25.973183301529076,2,25.583909980917447,20.33726206822631,69.10377733003983,0.008944238,0.0064372024,HOLD,In cooldown (7s remaining),💤 LOW LOAD - 26 req/s,False,False
48,29.371503631834408,2,27.622902179100645,21.95146422512134,70.28057823243392,0.004988112,0.0065476745,HOLD,In cooldown (6s remaining),💤 LOW LOAD - 29 req/s,False,False
49,28.452407962559484,2,27.07144477753569,21.514893782215754,72.33348673675309,0.0053784675,0.008555544,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 28 req/s,False,False
50,22.43046996886118,2,23.45828198131671,18.65447323520906,69.13862430010545,0.018490262,0.032463327,HOLD,In cooldown (4s remaining),💤 LOW LOAD - 22 req/s,False,False
51,30.393488677372225,2,28.236093206423334,22.43690712175181,74.52025847609357,0.004671998,0.018634921,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 30 req/s,False,False
52,33.23127999861994,2,29.93876799917196,23.78485799934447,73.84791211983931,0.005687228,0.005167626,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 33 req/s,False,False
53,29.91559197817253,2,27.949355186903517,22.20990618963195,66.97241505958155,0.005406259,0.008259949,HOLD,In cooldown (1s remaining),💤 LOW LOAD - 30 req/s,False,False
54,29.24223069799246,2,27.545338418795478,21.890059581546417,76.3628839880138,0.0057651424,0.0070417323,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 29 req/s,False,False
55,35.22191161355926,2,31.133146968135552,24.730408016440645,73.0612633903838,0.0039607817,0.005285589,SCALE_DOWN,Low spike probability (0.00) + Low CPU (27.5%) [HIT MIN LIMIT],✅ NORMAL LOAD - 35 req/s,False,False
56,27.83190645980781,2,26.699143875884687,21.22015556840871,69.93024028943726,0.007536049,0.0074040727,HOLD,In cooldown (9s remaining),💤 LOW LOAD - 28 req/s,False,False
57,26.3583746078867,2,25.81502476473202,20.52022793874618,69.7256018277502,0.01037947,0.008577441,HOLD,In cooldown (8s remaining),💤 LOW LOAD - 26 req/s,False,False
58,33.23467763791822,2,29.94080658275093,23.786471878011152,74.77234053770836,0.004583688,0.0090633165,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 33 req/s,False,False
59,34.791760733339686,2,30.87505644000381,24.52608634833635,76.73427814622212,0.003768633,0.006127899,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 35 req/s,False,False
60,20.0,2,22.0,17.5,66.04324469036122,0.103148095,0.07553596,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 20 req/s,False,False
61,27.837440179881536,2,26.702464107928922,21.222784085443728,73.5265659338232,0.0063584982,0.0073533827,HOLD,In cooldown (4s remaining),💤 LOW LOAD - 28 req/s,False,False
62,34.281380825968064,2,30.56882849558084,24.28365589233483,76.76839511409112,0.005146208,0.006186446,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 34 req/s,False,False
63,31.591397153277267,2,28.95483829196636,23.0059136478067,75.58569204239103,0.0045120665,0.007572018,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 32 req/s,False,False
64,30.461554108182792,2,28.276932464909674,22.469238201386826,70.69308984120345,0.0065820226,0.010401112,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 30 req/s,False,False
65,26.47235969466825,2,25.883415816800948,20.57437085496742,73.05205984665116,0.01253859,0.0075903335,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 26 req/s,False,False
66,28.11652794113949,2,26.869916764683694,21.355350772041255,73.479213726763,0.006618765,0.0064735105,SCALE_DOWN,Low spike probability (0.01) + Low CPU (25.9%) [HIT MIN LIMIT],💤 LOW LOAD - 28 req/s,False,False
67,41.66276228028142,2,34.99765736816885,27.789812083133672,80.28281158309271,0.0033443782,0.0047299583,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 42 req/s,False,False
68,20.302070823186703,2,22.181242493912023,17.64348364101368,67.5449002955764,0.14647765,0.056704514,HOLD,In cooldown (8s remaining),💤 LOW LOAD - 20 req/s,False,False
69,28.143526528371385,2,26.88611591702283,21.36817510097641,67.66467710233434,0.006675862,0.015280373,HOLD,In cooldown (7s remaining),💤 LOW LOAD - 28 req/s,False,False
70,30.103049666777046,2,28.061829800066228,22.298948591719096,73.40852302257545,0.0064240564,0.0072976705,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 30 req/s,False,False
71,28.596106801814603,2,27.15766408108876,21.583150730861938,77.48416731810548,0.006209352,0.011998857,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 29 req/s,False,False
72,37.242225568575584,2,32.34533534114535,25.690057145073403,75.10535385011941,0.0048157955,0.011686102,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 37 req/s,False,False
73,37.50653103362414,2,32.50391862017449,25.815602240971465,75.70726100735206,0.0036899438,0.006490683,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 38 req/s,False,False
74,25.521791265141594,2,25.313074759084955,20.122850850942257,70.62471054243075,0.008915524,0.01036149,HOLD,In cooldown (2s remaining),💤 LOW LOAD - 26 req/s,False,False
75,22.82694156888916,2,23.696164941333496,18.84279724522235,66.97963331958702,0.022324046,0.030251447,HOLD,In cooldown (1s remaining),💤 LOW LOAD - 23 req/s,False,False
76,25.280558472184243,2,25.168335083310545,20.008265274287517,66.09700664656587,0.008838691,0.012264648,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 25 req/s,False,False
77,25.770665449053457,2,25.462399269432073,20.241066088300393,71.2533767037973,0.0073884623,0.009917218,SCALE_DOWN,Low spike probability (0.01) + Low CPU (25.2%) [HIT MIN LIMIT],💤 LOW LOAD - 26 req/s,False,False
78,27.25419262665799,2,26.352515575994794,20.945741497662546,69.68720657459916,0.007790154,0.010794552,HOLD,In cooldown (9s remaining),💤 LOW LOAD - 27 req/s,False,False
79,32.413671968423095,2,29.448203181053856,23.396494185000968,73.68492639729094,0.0036779635,0.018336812,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 32 req/s,False,False
80,36.81537598208472,2,32.08922558925083,25.48730359149024,76.13270455679135,0.0054541016,0.010268049,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 37 req/s,False,False
81,26.77608385143835,2,26.06565031086301,20.718639829433215,70.9261906388294,0.0110467365,0.015292705,HOLD,In cooldown (6s remaining),💤 LOW LOAD - 27 req/s,False,False
82,26.15880482990407,2,25.69528289794244,20.425432294204434,74.05370227513258,0.008677081,0.013189347,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 26 req/s,False,False
83,29.35644232891694,2,27.613865397350164,21.944310106235548,70.69410217640511,0.0061901556,0.016235627,HOLD,In cooldown (4s remaining),💤 LOW LOAD - 29 req/s,False,False
84,34.881255318363145,2,30.928753191017886,24.568596276222493,77.18403180082737,0.0038069165,0.023280602,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 35 req/s,False,False
85,30.36646920086209,2,28.21988152051725,22.42407287040949,71.67609978526265,0.0043685627,0.014516297,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 30 req/s,False,False
86,37.40516224956197,2,32.44309734973718,25.767452068541935,77.9630316217494,0.0037665623,0.013331462,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 37 req/s,False,False
87,30.508076333518773,2,28.304845800111263,22.491336258421416,75.62438985621411,0.0061395206,0.013909859,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 31 req/s,False,False
88,24.55199819007504,2,24.731198914045024,19.662199140285644,70.15950237395877,0.0131970085,0.023459073,SCALE_DOWN,Low spike probability (0.01) + Low CPU (28.3%) [HIT MIN LIMIT],💤 LOW LOAD - 25 req/s,False,False
89,28.283051796210017,2,26.96983107772601,21.43444960319976,70.13974550356794,0.008342163,0.021578193,HOLD,In cooldown (9s remaining),💤 LOW LOAD - 28 req/s,False,False
90,20.442563945170026,2,22.265538367102018,17.710217873955763,68.50175281367757,0.08033462,0.06022052,HOLD,In cooldown (8s remaining),💤 LOW LOAD - 20 req/s,False,False
91,25.748783166900157,2,25.449269900140095,20.230672004277572,72.51631422367532,0.011630965,0.012858438,HOLD,In cooldown (7s remaining),💤 LOW LOAD - 26 req/s,False,False
92,28.993266967532676,2,27.395960180519605,21.771801809578022,73.07440132950704,0.003841896,0.013001183,HOLD,In cooldown (6s remaining),💤 LOW LOAD - 29 req/s,False,False
93,32.4961128442123,2,29.497667706527377,23.43565360100084,73.15045935482271,0.0036395767,0.026095523,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 32 req/s,False,False
94,43.0955179568163,2,35.85731077408978,28.470371029487744,78.92635588253161,0.0023661137,0.005828654,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 43 req/s,False,False
95,27.22053528265931,2,26.332321169595584,20.92975425926317,72.48928716913441,0.008052513,0.015346999,HOLD,In cooldown (3s remaining),💤 LOW LOAD - 27 req/s,False,False
96,29.556468200032647,2,27.733880920019587,22.039322395015507,73.52020816721442,0.008369682,0.019781368,HOLD,In cooldown (2s remaining),💤 LOW LOAD - 30 req/s,False,False
97,27.03350717802503,2,26.220104306815017,20.840915909561886,72.2261181939055,0.009760629,0.019662954,HOLD,In cooldown (1s remaining),💤 LOW LOAD - 27 req/s,False,False
98,28.923539850172315,2,27.35412391010339,21.738681428831846,68.68328282915478,0.005591216,0.021844914,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 29 req/s,False,False
99,26.333317734173807,2,25.799990640504284,20.508325923732556,68.56682087103393,0.0068972893,0.011554146,SCALE_DOWN,Low spike probability (0.01) + Low CPU (27.4%) [HIT MIN LIMIT],💤 LOW LOAD - 26 req/s,False,False
100,23.14203618020588,2,23.88522170812353,18.992467185597793,68.84090487353846,0.011214435,0.030009864,HOLD,In cooldown (9s remaining),💤 LOW LOAD - 23 req/s,False,False
101,27.977754942567785,2,26.78665296554067,21.289433597719697,69.45116601171864,0.0059726136,0.024397444,HOLD,In cooldown (8s remaining),💤 LOW LOAD - 28 req/s,False,False
102,30.02213594109899,2,28.013281564659394,22.260514572022018,70.2900177592332,0.004214125,0.014305743,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 30 req/s,False,False
103,38.22024722837937,2,32.93214833702763,26.1546174334802,75.55714603459808,0.0033921876,0.007312463,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 38 req/s,False,False
104,27.79061949218687,2,26.67437169531212,21.200544258788764,75.73086804078633,0.00656004,0.011324197,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 28 req/s,False,False
105,35.204598628599044,2,31.122759177159427,24.722184348584545,75.48086991065256,0.004673626,0.012524835,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 35 req/s,False,False
106,29.34587634123149,2,27.607525804738895,21.939291262084957,71.55282490041846,0.0053944956,0.020935075,HOLD,In cooldown (3s remaining),💤 LOW LOAD - 29 req/s,False,False
107,20.45052523300328,2,22.270315139801966,17.71399948567656,69.3245174634314,0.06749927,0.05869723,HOLD,In cooldown (2s remaining),💤 LOW LOAD - 20 req/s,False,False
108,25.75574618546151,2,25.453447711276908,20.233979438094217,70.45747214890571,0.010318054,0.013649406,HOLD,In cooldown (1s remaining),💤 LOW LOAD - 26 req/s,False,False
109,24.40979147560889,2,24.645874885365334,19.59465095091422,66.60433309061617,0.0063587395,0.017647455,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 24 req/s,False,False
110,29.65770559839562,2,27.79462335903737,22.08741015923792,72.52015782966943,0.0038846908,0.010921426,SCALE_DOWN,Low spike probability (0.00) + Low CPU (24.6%) [HIT MIN LIMIT],💤 LOW LOAD - 30 req/s,False,False
