time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
51,35.0,2,31.0,24.625,77.74847042372265,0.014194088,0.011299623,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
52,35.0,2,31.0,24.625,78.485813216537,0.012564635,0.0115531925,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
53,35.0,2,31.0,24.625,72.62737243000097,0.009227632,0.009598177,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
54,35.0,2,31.0,24.625,75.7722755293412,0.01006146,0.009537595,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
55,35.0,2,31.0,24.625,71.28037311905926,0.010950763,0.0087839365,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
56,35.0,2,31.0,24.625,75.98724855782999,0.010886697,0.008932039,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
57,35.0,2,31.0,24.625,78.05210176635934,0.010886697,0.0087044,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
58,35.0,2,31.0,24.625,75.65609589306885,0.010720922,0.008534327,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
59,35.0,2,31.0,24.625,77.21576165097238,0.010658187,0.008862429,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
60,35.0,2,31.0,24.625,70.99077869778093,0.009614232,0.010169389,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
